	id_relation	lautre_noeud	type_relation	poids_relation	sens_relation
0	211803391	guili guili	0	2.5e-05	sortante
1	211803392	chatouillement	0	2.5e-05	sortante
2	87479129	chatouille	0	2.6e-05	sortante
3	87479130	chatouiller	0	2.6e-05	sortante
4	329612633	plume&gt;140176	0	3e-05	sortante
5	9091374	affect	0	4e-05	sortante
6	23944812	_COM	0	1.0	sortante
7	363914229	chatouilles&gt;2946892	2	4.5e-05	sortante
8	363914233	chatouilles&gt;171870	2	4.5e-05	sortante
9	362953661	VerbalPers:P2	4	2.5e-05	sortante
10	362945265	VerbalNumber:SG	4	2.5e-05	sortante
11	362936790	Ver:SPre+SG+P2	4	2.5e-05	sortante
12	362928325	Ver:IPre+SG+P2	4	2.5e-05	sortante
13	53987791	Gender:Fem	4	4.5e-05	sortante
14	54003880	Number:Plur	4	4.5e-05	sortante
15	72091431	VerbalTime:Present	4	4.5e-05	sortante
16	72420600	Ver:Conjug	4	4.5e-05	sortante
17	75865225	VerbalMode:Indicatif	4	4.5e-05	sortante
18	75865226	VerbalMode:Subjonctif	4	4.5e-05	sortante
19	344582	Nom:Fem+PL	4	5.2e-05	sortante
20	344583	Ver:IPre+SG+P2:SPre+SG+P2	4	5.5e-05	sortante
21	2272489	Nom:	4	5.5e-05	sortante
22	12088366	Ver:	4	5.8e-05	sortante
23	8717652	faire des chatouilles	11	0.00016	sortante
24	171689	_FL:0	12	1.8e-05	sortante
25	89959928	Morpho:min	18	3.1e-05	sortante
26	90817444	Morpho:nospace	18	3.2e-05	sortante
27	288132	chatouille	19	5.3e-05	sortante
28	288133	chatouiller	19	5.4e-05	sortante
29	14829011	donner la chair de poule	24	1.7e-05	sortante
30	24920800	faire rire	24	9.7e-05	sortante
31	72963857	indifférence	32	4.4e-05	sortante
32	33823117	surprise	32	7.4e-05	sortante
33	33808522	satisfaction	32	7.5e-05	sortante
34	33561765	bonheur	32	8.1e-05	sortante
35	293791409	_INFO-WIKI-YES	36	2.5e-05	sortante
36	363914232	_INFO-POLYMORPHIC	36	2.5e-05	sortante
37	27299114	_POL-NEG_PC	36	2.9e-05	sortante
38	9336606	_POL-NEUTRE_PC	36	3.5e-05	sortante
39	30783772	_INFO-COUNTABLE-YES	36	4e-05	sortante
40	9089016	_POL-POS_PC	36	4.5e-05	sortante
41	26496101	_POL-NEG	36	5.8e-05	sortante
42	9219491	_POL-NEUTRE	36	0.000103	sortante
43	9089753	_POL-POS	36	0.000131	sortante
44	14643363	avoir des frissons	41	3.6e-05	sortante
45	14654540	rire	41	9.6e-05	sortante
46	14654119	éclater de rire	41	0.000105	sortante
47	78018206	wiki:@	444	3.1e-05	sortante
48	74193452	_SW	555	0.000124	sortante
49	3681917	Épiderme	777	1e-05	sortante
50	3681919	épiderme	777	1e-05	sortante
51	3681924	rire	777	1e-05	sortante
52	3681926	ancien français	777	1e-05	sortante
53	3681932	langues romanes	777	1e-05	sortante
54	3681935	onomatopée	777	1e-05	sortante
