	id_relation	lautre_noeud	type_relation	poids_relation	sens_relation
0	86255264	transgressée	0	5e-06	sortante
1	34404002	::&gt;34:62166&gt;29:130164	0	6e-06	sortante
2	34404004	::&gt;34:31576&gt;29:130164	0	6e-06	sortante
3	54314636	pris	0	9e-06	sortante
4	98289399	manger des glands	0	1e-05	sortante
5	25187659	manger des légumes	0	1.3e-05	sortante
6	9902979	soupe	0	1.4e-05	sortante
7	97353411	vue	0	1.5e-05	sortante
8	233129643	choses	0	1.5e-05	sortante
9	233129644	chose	0	1.5e-05	sortante
10	233129645	mordre&gt;85349	0	1.6e-05	sortante
11	233129646	destruction	0	1.6e-05	sortante
12	22900348	::&gt;13:150&gt;29:130164	0	1.7e-05	sortante
13	310853062	sauté&gt;171870	0	2e-05	sortante
14	310853066	toucher&gt;171870	0	2e-05	sortante
15	310853067	souper&gt;171870	0	2e-05	sortante
16	310853073	goûter&gt;171870	0	2e-05	sortante
17	310853077	diner&gt;171870	0	2e-05	sortante
18	310853084	bouffe&gt;171870	0	2e-05	sortante
19	310853087	user&gt;171870	0	2e-05	sortante
20	310853091	déjeuner&gt;171870	0	2e-05	sortante
21	311351804	diner&gt;146882	0	2e-05	sortante
22	329903815	user&gt;146882	0	2e-05	sortante
23	329906495	déjeuner&gt;146882	0	2e-05	sortante
24	329906857	souper&gt;146882	0	2e-05	sortante
25	329907296	toucher&gt;146882	0	2e-05	sortante
26	331805488	goûter&gt;146882	0	2e-05	sortante
27	925754	picorer	0	2.1e-05	sortante
28	925787	pâturer	0	2.1e-05	sortante
29	925789	agapes	0	2.1e-05	sortante
30	925790	festin	0	2.1e-05	sortante
31	8552190	savourer	0	2.1e-05	sortante
32	9898907	déguster	0	2.1e-05	sortante
33	12174152	croûter	0	2.1e-05	sortante
34	12305596	grignoter	0	2.1e-05	sortante
35	12343143	mordre	0	2.1e-05	sortante
36	12344323	se farcir	0	2.1e-05	sortante
37	54311204	gobichonner	0	2.1e-05	sortante
38	54311213	oublier	0	2.1e-05	sortante
39	54311233	gueuletonner	0	2.1e-05	sortante
40	54688026	pâture	0	2.1e-05	sortante
41	62039004	grapiller	0	2.1e-05	sortante
42	62480269	égrapper	0	2.1e-05	sortante
43	98035953	miner	0	2.1e-05	sortante
44	98820507	pinocher	0	2.1e-05	sortante
45	98876061	casser la croute	0	2.1e-05	sortante
46	925774	goinfrer	0	2.2e-05	sortante
47	925781	collationner	0	2.2e-05	sortante
48	925791	tortorer	0	2.2e-05	sortante
49	9927759	faire ripaille	0	2.2e-05	sortante
50	9927761	faire bonne chère	0	2.2e-05	sortante
51	9927766	pique-niquer	0	2.2e-05	sortante
52	15734553	Sociologie	0	2.2e-05	sortante
53	54311157	se gaver	0	2.2e-05	sortante
54	54311159	dissiper	0	2.2e-05	sortante
55	54311208	se caler les joues	0	2.2e-05	sortante
56	54311211	tortiller	0	2.2e-05	sortante
57	54311220	se décarêmer	0	2.2e-05	sortante
58	54311236	fricoter	0	2.2e-05	sortante
59	54311237	godailler	0	2.2e-05	sortante
60	54322519	sauter	0	2.2e-05	sortante
61	925767	dévisager	0	2.3e-05	sortante
62	925769	tourmenter	0	2.3e-05	sortante
63	925772	ravager	0	2.3e-05	sortante
64	9927764	se goinfrer	0	2.3e-05	sortante
65	12305602	consommer	0	2.3e-05	sortante
66	14190902	becter	0	2.3e-05	sortante
67	54311158	brûler	0	2.3e-05	sortante
68	54311197	friper	0	2.3e-05	sortante
69	54688021	mets	0	2.3e-05	sortante
70	925757	gagner	0	2.4e-05	sortante
71	925762	anéantir	0	2.4e-05	sortante
72	925765	engouffrer	0	2.4e-05	sortante
73	925768	dilapider	0	2.4e-05	sortante
74	925771	convoiter	0	2.4e-05	sortante
75	925773	empiffrer	0	2.4e-05	sortante
76	925779	mangeotter	0	2.4e-05	sortante
77	925780	chipoter	0	2.4e-05	sortante
78	12193888	grailler	0	2.4e-05	sortante
79	12305594	boulotter	0	2.4e-05	sortante
80	54311198	corroder	0	2.4e-05	sortante
81	54311201	toucher	0	2.4e-05	sortante
82	54311203	claquer	0	2.4e-05	sortante
83	54311210	se rassasier	0	2.4e-05	sortante
