|id_relation|lautre_noeud|type_relation|poids_relation|sens_relation
0|87854259|papouiller|0|0.5254237288135594|sortante
1|87786275|papouille|0|0.576271186440678|sortante
2|363949446|papouilles&gt;2946892|2|0.7627118644067796|sortante
3|363949450|papouilles&gt;171870|2|0.7627118644067796|sortante
4|362951993|VerbalPers:P2|4|0.423728813559322|sortante
5|362943597|VerbalNumber:SG|4|0.423728813559322|sortante
6|362935107|Ver:SPre+SG+P2|4|0.423728813559322|sortante
7|362926638|Ver:IPre+SG+P2|4|0.423728813559322|sortante
8|54000229|Gender:Fem|4|0.7627118644067796|sortante
9|54016409|Number:Plur|4|0.7627118644067796|sortante
10|75874583|Ver:IPre+SG+P2:SPre+SG+P2|4|0.7627118644067796|sortante
11|75874584|Ver:|4|0.7627118644067796|sortante
12|75874585|VerbalTime:Present|4|0.7627118644067796|sortante
13|75874586|Ver:Conjug|4|0.7627118644067796|sortante
14|75874587|VerbalMode:Indicatif|4|0.7627118644067796|sortante
15|75874588|VerbalMode:Subjonctif|4|0.7627118644067796|sortante
16|32919594|Nom:Fem+PL|4|0.9322033898305084|sortante
17|32919593|Nom:|4|1.0|sortante
18|356987911|faire des papouilles|11|0.423728813559322|sortante
19|74716887|_FL:0|12|0.4745762711864407|sortante
20|89458203|Morpho:min|18|0.4915254237288136|sortante
21|90441410|Morpho:nospace|18|0.5932203389830508|sortante
22|75874589|papouiller|19|0.4745762711864407|sortante
23|32919592|papouille|19|0.9152542372881356|sortante
24|363949449|_INFO-POLYMORPHIC|36|0.423728813559322|sortante
25|32946813|_INFO-COUNTABLE-YES|36|0.6779661016949152|sortante
26|356987912|faire des papouilles|0|0.01694915254237288|entrante
