	id_relation	lautre_noeud	type_relation	poids_relation	sens_relation
0	368061779	fond	0	1e-06	sortante
1	31836813	puits climatique	0	3e-06	sortante
2	31767460	puits CO	0	3e-06	sortante
3	298774821	être humain de sexe féminin	0	5e-06	sortante
4	34185238	puits pétrolier	0	6e-06	sortante
5	33899694	puits d'extraction	0	7e-06	sortante
6	33899724	puits d'attente	0	7e-06	sortante
7	33899757	puits artésien	0	7e-06	sortante
8	33899817	puits intérieur	0	7e-06	sortante
9	33899830	puits d'amarre	0	7e-06	sortante
10	33899877	puits de mine	0	7e-06	sortante
11	33899880	puits à chaîne	0	7e-06	sortante
12	33899881	puits salant	0	7e-06	sortante
13	33899926	puits magnétique	0	7e-06	sortante
14	33899982	puits sec	0	7e-06	sortante
15	33900299	puits de jante	0	7e-06	sortante
16	33900324	puits perdu	0	7e-06	sortante
17	31677793	puits gravitationnel	0	8e-06	sortante
18	31758728	puits de potentiel	0	8e-06	sortante
19	33899862	puits pleureur	0	8e-06	sortante
20	34396909	puits sans fond	0	8e-06	sortante
21	34259167	puits de pétrole	0	9e-06	sortante
22	31102236	puits aux chaînes	0	1e-05	sortante
23	53081948	puits de jaumière	0	1e-05	sortante
24	53082771	puits de dérive	0	1e-05	sortante
25	30656405	puits de lumière	0	1.1e-05	sortante
26	109091902	yeux	0	1.1e-05	sortante
27	109092026	squelette&gt;112609	0	1.1e-05	sortante
28	109092086	sexe&gt;218086	0	1.1e-05	sortante
29	109092148	pied	0	1.1e-05	sortante
30	109092210	oeil&gt;330323	0	1.1e-05	sortante
31	109092270	oeil	0	1.1e-05	sortante
32	31087668	puits canadien	0	1.3e-05	sortante
33	53159580	puits de données	0	1.3e-05	sortante
34	108927437	nez	0	1.3e-05	sortante
35	108927489	jambes	0	1.3e-05	sortante
36	108927539	cou	0	1.3e-05	sortante
37	108927587	corps	0	1.3e-05	sortante
38	108927809	ADN	0	1.3e-05	sortante
39	108932102	seins	0	1.3e-05	sortante
40	108932178	main	0	1.3e-05	sortante
41	108932238	jambe	0	1.3e-05	sortante
42	108932350	bras	0	1.3e-05	sortante
43	30645713	puits naturel	0	1.4e-05	sortante
44	30231569	puits cotté	0	1.5e-05	sortante
45	30237677	puits épidermique palmo-plantaire	0	1.5e-05	sortante
46	30453945	puits de carbone	0	1.5e-05	sortante
47	34451771	puits de science	0	1.5e-05	sortante
48	30229512	puits mantelé	0	1.6e-05	sortante
49	313373075	source&gt;171870	0	2e-05	sortante
50	975163	souterrain	0	2.1e-05	sortante
51	975166	puisard	0	2.1e-05	sortante
