cache,nb_reps_fcts,methode,extraction_mot.extraction_html(),difference_1,extraction_mot.relations_mot(),difference_2,extraction_mot.relations_entre_mots(),difference_3,traitements_phrase.informations_pronoms(),difference_4,traitements_phrase.coreferences_phrase(),difference_5,date,heure,mot,liste_mots,phrase
0.0,5.0,-max,0.5837961673736572,,8.248536682128906,,11.112806844711304,,2.478994226455689,,9.044090032577516,,01/06/2020,22:36:29,manger,"['chien', 'canaille', 'caniche', 'aboyer', 'être vivant', 'museau']",Le chien est tombé dans le puits. Il s'est cassé le museau. Il va ainsi retenir la leçon.
1.0,5.0,-max,0.7030968189239502,,0.02028193473815918,,0.04943914413452148,,1.0486454486846923,,1.1159933090209957,,01/06/2020,22:36:44,manger,"['chien', 'canaille', 'caniche', 'aboyer', 'être vivant', 'museau']",Le chien est tombé dans le puits. Il s'est cassé le museau. Il va ainsi retenir la leçon.
0.0,5.0,-max,0.6159916877746582,+5.51%,8.014677715301513,-2.84%,10.695264673233034,-3.76%,2.432460355758667,-1.88%,8.92727518081665,-1.29%,01/06/2020,22:39:38,manger,"['chien', 'canaille', 'caniche', 'aboyer', 'être vivant', 'museau']",Le chien est tombé dans le puits. Il s'est cassé le museau. Il va ainsi retenir la leçon.
1.0,5.0,-max,0.6054852485656739,-13.88%,0.01838197708129884,-9.37%,0.044341421127319335,-10.31%,1.001671028137207,-4.48%,1.0482495784759522,-6.07%,01/06/2020,22:39:52,manger,"['chien', 'canaille', 'caniche', 'aboyer', 'être vivant', 'museau']",Le chien est tombé dans le puits. Il s'est cassé le museau. Il va ainsi retenir la leçon.
0.0,5.0,-max,0.8496666908264159,+37.93%,7.84575457572937,-2.11%,10.188621187210083,-4.74%,2.412201976776123,-0.83%,9.307288455963137,+4.26%,01/06/2020,22:42:50,manger,"['chien', 'canaille', 'caniche', 'aboyer', 'être vivant', 'museau']",Le chien est tombé dans le puits. Il s'est cassé le museau. Il va ainsi retenir la leçon.
1.0,5.0,-max,0.5535349845886229,-8.58%,0.017848443984985352,-2.9%,0.044760608673095705,+0.95%,1.0491511344909668,+4.74%,1.043851900100708,-0.42%,01/06/2020,22:43:03,manger,"['chien', 'canaille', 'caniche', 'aboyer', 'être vivant', 'museau']",Le chien est tombé dans le puits. Il s'est cassé le museau. Il va ainsi retenir la leçon.
0.0,5.0,-max,0.6188014030456543,-27.17%,8.135176706314088,+3.69%,12.217143678665161,+19.91%,2.429539155960083,+0.72%,9.449950456619264,+1.53%,01/06/2020,22:47:24,manger,"['chien', 'canaille', 'caniche', 'aboyer', 'être vivant', 'museau']",Le chien est tombé dans le puits. Il s'est cassé le museau. Il va ainsi retenir la leçon.
1.0,5.0,-max,0.6544319152832031,+18.23%,0.01944751739501953,+8.96%,0.047826623916625975,+6.85%,1.0315423011779783,-1.68%,1.0453877925872803,+0.15%,01/06/2020,22:47:38,manger,"['chien', 'canaille', 'caniche', 'aboyer', 'être vivant', 'museau']",Le chien est tombé dans le puits. Il s'est cassé le museau. Il va ainsi retenir la leçon.
0.0,5.0,-max,0.6675881862640379,+7.88%,7.902701425552367,-2.86%,10.881086730957033,-10.94%,2.4906967163085936,+2.52%,9.612425374984742,+1.72%,01/06/2020,22:50:45,manger,"['chien', 'canaille', 'caniche', 'aboyer', 'être vivant', 'museau']",Le chien est tombé dans le puits. Il s'est cassé le museau. Il va ainsi retenir la leçon.
1.0,5.0,-max,0.6797440528869629,+3.87%,0.02059521675109864,+5.9%,0.04901256561279297,+2.48%,1.0432425498962403,+1.13%,1.0382908821105956,-0.68%,01/06/2020,22:50:59,manger,"['chien', 'canaille', 'caniche', 'aboyer', 'être vivant', 'museau']",Le chien est tombé dans le puits. Il s'est cassé le museau. Il va ainsi retenir la leçon.
